file,line,type,commit,author,date,time,timezone,datetime,depth,length
styles.css,81,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,11
styles.css,82,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,45
styles.css,83,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,63
styles.css,84,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,69
styles.css,85,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,20
styles.css,86,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,87,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,88,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,89,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,38
styles.css,90,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,12
styles.css,91,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,12
styles.css,92,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,29
styles.css,93,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,18
styles.css,94,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,7
styles.css,95,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,96,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,97,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,6
styles.css,98,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,1,13
styles.css,99,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,0
styles.css,100,css,4acc3e9d,Dhruv Sehgal,2025-10-17,20:55:02,-07:00,2025-10-17T20:55:02-07:00,0,0
styles.css,101,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,9
styles.css,102,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,12
styles.css,103,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,58
styles.css,104,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,105,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,106,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,7
styles.css,107,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,26
styles.css,108,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,15
styles.css,109,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,7
styles.css,110,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,111,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,112,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,2
styles.css,113,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,13
styles.css,114,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,115,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,116,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,2
styles.css,117,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,8
styles.css,118,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,119,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,0
styles.css,120,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,0,22
styles.css,121,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,15
styles.css,122,css,50f78425,Dhruv Sehgal,2025-10-10,23:54:11,-07:00,2025-10-10T23:54:11-07:00,1,17
styles.css,123,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,124,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,125,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,10
styles.css,126,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,12
styles.css,127,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,18
styles.css,128,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,7
styles.css,129,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,130,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,131,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,18
styles.css,132,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,14
styles.css,133,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,16
styles.css,134,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,16
styles.css,135,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,136,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,0
styles.css,137,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,0,7
styles.css,138,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,12
styles.css,139,css,ff673a3c,dhrutube,2025-10-31,23:53:37,-07:00,2025-10-31T23:53:37-07:00,1,57
